id, token, freq
1269, b'cli', 45
1270, b'nnou', 45
1271, b'ducat', 45
1272, b'32', 45
1273, b' eq', 45
1274, b'king c', 45
1275, b'\x87', 44
1276, b'\xe5', 44
1277, b'l the ', 44
1278, b'st an', 44
1279, b'k to', 44
1280, b'mse', 44
1281, b'and hi', 44
1282, b'and of', 44
1283, b'st-', 44
1284, b'ulti', 44
1285, b'fli', 44
1286, b'hat s', 44
1287, b'of the U', 44
1288, b'illia', 44
1289, b' had a ', 44
1290, b'\x90', 43
1291, b'1s', 43
1292, b'eati', 43
1293, b' rou', 43
1294, b'entia', 43
1295, b'All', 43
1296, b'ing l', 43
1297, b'ilia', 43
1298, b'a M', 43
1299, b'-L', 43
1300, b'h of the ', 43
1301, b'Pot', 43
1302, b'EI', 43
1303, b'.5', 43
1304, b'MN', 43
1305, b'ne.', 43
1306, b' sent', 43
1307, b'ing for', 43
1308, b'Ill', 43
1309, b'"S', 43
1310, b'ly d', 43
1311, b'Phr', 43
1312, b'hra ', 43
1313, b', and w', 43
1314, b'e rec', 43
1315, b'1st', 42
1316, b' any', 42
1317, b'and T', 42
1318, b'ts to', 42
1319, b'Met', 42
1320, b'was e', 42
1321, b'Rec', 42
1322, b'was m', 42
1323, b' the ce', 42
1324, b'and se', 42
1325, b"'t", 42
1326, b'Ass', 42
1327, b'ere s', 42
1328, b'd sp', 42
1329, b' ever', 42
1330, b'h to ', 42
1331, b'Isl', 42
1332, b'\x82', 41
1333, b'm s', 41
1334, b'o and ', 41
1335, b'and st', 41
1336, b'st f', 41
1337, b'of d', 41
1338, b'rtan', 41
1339, b'ent in', 41
1340, b'ofe', 41
1341, b're e', 41
1342, b'rtin', 41
1343, b'33', 41
1344, b'ety', 41
1345, b'44', 41
1346, b'inan', 41
1347, b'76', 41
1348, b'The C', 41
1349, b'ia\n', 41
